Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 305 | +0.02760293991673939268 | +0.63681289519063466464 |
| 306 | -0.02750267528691646007 | +0.60931021990371825314 |
| 307 | +0.02740292142361984082 | +0.63671314132733813906 |
| 308 | -0.02730367445851728664 | +0.60940946686882080385 |
| 309 | +0.02720493056495498080 | +0.63661439743377579159 |
| 310 | -0.02710668595736831152 | +0.60950771147640747660 |
| 311 | +0.02700893689070291495 | +0.63651664836711041584 |
| 312 | -0.02691167965984578650 | +0.60960496870726466057 |
| 313 | +0.02681491059906622454 | +0.63641987930633092674 |
| 314 | -0.02671862608146644696 | +0.60970125322486445896 |
| 315 | +0.02662282251844163422 | +0.63632407574330607236 |
| 316 | -0.02652749635914925658 | +0.60979657938415676721 |
| 317 | +0.02643264408998746359 | +0.63622922347414423427 |
| 318 | -0.02633826223408236231 | +0.60989096124006192401 |
| 319 | +0.02624434735078400721 | +0.63613530859084588265 |
| 320 | -0.02615089603517090078 | +0.60998441255567503738 |
| 321 | +0.02605790491756290392 | +0.63604231747323791701 |
| 322 | -0.02596537066304228578 | +0.61007694681019564165 |
| 323 | +0.02587328997098285732 | +0.63595023678117845733 |
| 324 | -0.02578165957458692162 | +0.61016857720659156694 |
| 325 | +0.02569047624042999217 | +0.63585905344702153830 |
| 326 | -0.02559973676801304693 | +0.61025931667900845667 |
| 327 | +0.02550943798932218953 | +0.63576875466833060457 |
| 328 | -0.02541957676839561031 | +0.61034917789993503590 |
| 329 | +0.02533015000089763533 | +0.63567932790083270245 |
| 330 | -0.02524115461369979413 | +0.61043817328713290138 |
| 331 | +0.02515258756446872232 | +0.63559076085160159941 |
| 332 | -0.02506444584126079136 | +0.61052631501034082540 |
| 333 | +0.02497672646212332689 | +0.63550304147246416964 |
| 334 | -0.02488942647470226976 | +0.61061361499776189987 |
| 335 | +0.02480254295585620355 | +0.63541615795361805485 |
| 336 | -0.02471607301127658543 | +0.61070008494234151453 |
| 337 | +0.02463001377511407977 | +0.63533009871745560471 |
| 338 | -0.02454436240961084884 | +0.61078573630784471771 |
| 339 | +0.02445911610473874495 | +0.63524485241258343837 |
| 340 | -0.02437427207784324465 | +0.61087058033474017638 |
| 341 | +0.02428982757329302758 | +0.63516040790803318661 |
| 342 | -0.02420577986213511001 | +0.61095462804589806272 |
| 343 | +0.02412212624175538722 | +0.63507675428765342218 |
| 344 | -0.02403886403554455695 | +0.61103789025210886177 |
| 345 | +0.02395599059256923319 | +0.63499388084467811577 |
| 346 | -0.02387350328724823986 | +0.61112037755742987244 |
| 347 | +0.02379139951903391781 | +0.63491177707646384576 |
| 348 | -0.02370967671209840005 | +0.61120210036436539713 |
| 349 | +0.02362833231502473041 | +0.63483043267939009979 |
| 350 | -0.02354736380050278036 | +0.61128306887888728127 |
| 351 | +0.02346676866502981837 | +0.63474983754391711699 |
| 352 | -0.02338654442861569718 | +0.61136329311530146491 |
| 353 | +0.02330668863449253739 | +0.63466998174979405434 |
| 354 | -0.02322719884882885888 | +0.61144278290096520934 |
| 355 | +0.02314807266044805953 | +0.63459085556141325846 |
| 356 | -0.02306930768055116127 | +0.61152154788086210413 |
| 357 | +0.02299090154244374726 | +0.63451244942330586873 |
| 358 | -0.02291285190126703120 | +0.61159959752203885142 |
| 359 | +0.02283515643373297196 | +0.63443475395577186848 |
| 360 | -0.02275781283786335388 | +0.61167694111790849032 |
| 361 | +0.02268081883273278393 | +0.63435775995064125343 |
| 362 | -0.02260417215821549503 | +0.61175358779242572371 |
| 363 | +0.02252787057473595173 | +0.63428145836716165462 |
| 364 | -0.02245191186302314054 | +0.61182954650413856612 |
| 365 | +0.02237629382386847887 | +0.63420584032800708663 |
| 366 | -0.02230101427788732521 | +0.61190482605011975448 |
| 367 | +0.02222607106528396576 | +0.63413089711540371329 |
| 368 | -0.02215146204562007740 | +0.61197943506978358386 |
| 369 | +0.02207718509758655259 | +0.63405662016737018849 |
| 370 | -0.02200323811877867575 | +0.61205338204859149887 |
| 371 | +0.02192961902547454350 | +0.63398300107406602155 |
| 372 | -0.02185632575241672204 | +0.61212667532164932727 |
| 373 | +0.02178335625259705463 | +0.63391003157424641312 |
| 374 | -0.02171070849704456740 | +0.61219932307720181797 |
